Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0984180141164289,-4.24653808969242E-05,-0.0479216367248507,0,0,0,6.12417699747623,0.0300418227285899,-1.31898495040203E-10,0.000115309225809925,0.0748141060332957,-2.70309349390935E-07,0.0990159080937532,0,0,0,0,0,0,package://car/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://car/meshes/base_link.STL,,BASE^robotarm-1;chasis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.00269150109526521,0.00643720654093697,0.0134014173539046,0,0,0,0.0798083224491903,2.67162812954716E-05,-2.43210282464138E-06,3.12605441684161E-07,2.66369888305853E-05,-3.15010363972303E-07,4.93317878172949E-05,0,0,0,0,0,0,package://car/meshes/link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://car/meshes/link_1.STL,,Link1^robotarm-1,Origin_joint_0,Axis_joint_0,joint_0,revolute,0,0,0,0,0,0,base_link,0,0,1,0,0,-2.356,2.356,,,,,,,,
link_2,4.66857455472258E-16,-0.0509999999999999,0.00196123940376829,0,0,0,0.0475993853834784,4.53034392400334E-05,4.39248438114813E-20,4.91279109407495E-20,2.93414623184682E-05,2.63109835750389E-20,2.08816059621121E-05,0,0,0,0,0,0,package://car/meshes/link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://car/meshes/link_2.STL,,Link2^robotarm-1,Origin_joint1,Axis_joint1,joint1,revolute,0.00124058826901926,0.00124058826901925,0.0222,-1.5707963267949,0,-2.35619449019235,link_1,0,0,1,0,0,-1.57,1.57,,,,,,,,
link_3,0.048654934891534,-0.0267541750207239,-0.00374536355010625,0,0,0,0.111344903565102,1.48058334362821E-05,6.13521058640702E-06,-5.30481365743086E-07,2.07786943796875E-05,-6.77818543214601E-07,2.27017654959212E-05,0,0,0,0,0,0,package://car/meshes/link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://car/meshes/link_3.STL,,Link3^robotarm-1,Origin_joint_2,Axis_joint_2,joint_2,revolute,0,-0.102,0,0,0,0,link_2,0,0,1,0,0,-1.57,1.57,,,,,,,,
link_4,0.0312862928250999,0.0162844264935197,0.00196741396525555,0,0,0,0.0508687963957953,2.06185098194461E-05,-2.35495810123568E-06,-3.50200079311361E-08,2.39090019104651E-05,-1.82228134622045E-08,9.9109950707106E-06,0,0,0,0,0,0,package://car/meshes/link_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://car/meshes/link_4.STL,,Link4^robotarm-1,Origin_joint_3,Axis_joint_3,joint_3,revolute,0.110641877280467,-0.0692166995578351,0,0.0330134851352876,0,-0.559025497866973,link_3,0,0,1,0,0,-1.57,1.57,,,,,,,,
link_5,0.0200430658409259,0.015206821362248,-0.0628230629281958,0,0,0,0.0397478655309209,6.83118920776812E-06,-8.25522508386529E-07,-1.11386372673254E-09,2.47605219937485E-06,-6.38856974010174E-09,6.25600379880046E-06,0,0,0,0,0,0,package://car/meshes/link_5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://car/meshes/link_5.STL,,Link5^robotarm-1,Origin_joint_4,Axis_joint_4,joint_4,revolute,0.0263869262023886,0.0137314418971836,0.0112859927951107,2.66176793053187,1.5707963267949,0,link_4,0,0,1,0,0,-1.57,1.57,,,,,,,,
link_6,-0.00019273,-0.0027587,0.00081377,0,0,0,0.0034196,2.621E-07,-2.3036E-08,-1.7205E-22,1.014E-07,2.6139E-22,3.5849E-07,0,0,0,0,0,0,package://car/meshes/link_6.STL,0.89412,0.91373,0.92941,1,0,0,0,0,0,0,package://car/meshes/link_6.STL,,Link6^robotarm-2/Flange-1;Link6^robotarm-2/3. gear_link-1,Origin_joint_5,Axis_joint_5,joint_5,revolute,-0.00125082871048847,0.0134873940524703,-0.0660040360555754,1.5707963267949,0,-1.74350141191543,link_5,0,0,-1,0,0,-0.01,1.57,,,,,,,,
link_61,0.0065432,0.022668,0.0015,0,0,0,0.0014839,4.324E-07,-7.8439E-08,-6.6174E-23,3.0753E-08,-5.6248E-22,4.6093E-07,0,0,0,0,0,0,package://car/meshes/link_61.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/link_61.STL,,Link6^robotarm-2/5. holder-1,Coordinate System15,Axis12,joint_51,revolute,-0.0036089,-0.030839,0.00175,3.1416,0,0,link_6,0,0,-1,0,0,-0.01,1.57,,,,,,,,
link_62,0.00042559,0.0066665,-0.001,0,0,0,0.0014157,2.1288E-07,-2.2306E-08,-5.3932E-22,4.9968E-08,-7.821E-22,2.6191E-07,0,0,0,0,0,0,package://car/meshes/link_62.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/link_62.STL,,Link6^robotarm-2/4. gear link smal hole-1,Mimic_joint5_!,Axis11,joint_52,revolute,-0.007627,-0.012881,-0.066004,-1.5708,0,-1.7435,link_5,0,0,-1,0,0,-0.01,1.57,,,,,,,,
link_63,-0.006769,0.022602,0.0015,0,0,0,0.0014839,4.308E-07,8.243E-08,-2.0514E-22,3.2358E-08,4.2641E-22,4.6093E-07,0,0,0,0,0,0,package://car/meshes/link_63.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/link_63.STL,,Link6^robotarm-2/5. holder-2,Coordinate System16,Axis13,joint_53,revolute,0.003442,0.030858,0,0,0,0,link_62,0,0,1,0,0,-0.01,1.57,,,,,,,,
whfl,1.2467E-09,-5.4442E-09,-0.020213,0,0,0,0.072755,4.1437E-05,2.2383E-13,-5.4568E-11,4.1437E-05,3.9178E-11,6.0865E-05,0,0,0,0,0,0,package://car/meshes/whfl.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/whfl.STL,,wheel2-1,Origin_fl,Axis_fl,fl,continuous,0.0015,0.083487,-0.0592,1.5708,1.5708,0,base_link,0,0,1,,,,,,,,,,,,
whfr,1.24962969139109E-09,5.44436740785789E-09,0.0202134707653484,0,0,0,0.0727548969842859,4.14370643491625E-05,-2.25286543002883E-13,5.45657502466087E-11,4.14370654220599E-05,3.91772712986478E-11,6.08652668960254E-05,0,0,0,0,0,0,package://car/meshes/whfr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car/meshes/whfr.STL,,wheel2-2,Origin_fr,Axis_fr,fr,continuous,0.0015,-0.083487,-0.0592,1.5708,1.5708,0,base_link,0,0,1,,,,,,,,,,,,
whbl,1.24650349764277E-09,-5.44134765023685E-09,-0.020213470764244,0,0,0,0.0727548969730556,4.14370643512431E-05,2.24951970406938E-13,-5.45685294714399E-11,4.14370654186999E-05,3.91804314061101E-11,6.08652668941202E-05,0,0,0,0,0,0,package://car/meshes/whbl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car/meshes/whbl.STL,,wheel2-8,Origin_bl,Axis_bl,bl,continuous,-0.1985,0.083487,-0.0592,1.5708,1.5708,0,base_link,0,0,1,,,,,,,,,,,,
whbr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://car/meshes/whbr.STL,1,1,1,1,0,0,0,0,0,0,package://car/meshes/whbr.STL,,wheel2-7,Origin_br,Axis_br,br,continuous,-0.198499999999999,-0.0834873571736593,-0.0592000000000001,1.57079632679489,1.5707963267949,0,base_link,0,0,1,,,,,,,,,,,,
